,W_in,W_out,stride,station,MSE,MAE,RMSE,R2_score
0,7,1,6,35T,5.126629761899587,1.5324933188302172,2.2642062101097564,0.9356752538030554
1,7,1,6,36T,7.147412235638096,2.0170725413731168,2.673464463133575,0.8992093843758225
2,7,1,6,37T,5.727443784466286,1.8161938803536553,2.393207843975589,0.8754428284798779
3,7,1,6,38T,11.075225561151637,2.7798367909022734,3.327946147573851,0.806676527534633
4,7,1,6,39T,12.053187969984915,2.6415313448224755,3.4717701493596773,0.8295439900806206
5,7,1,6,40T,10.718383039318622,2.8271180697849823,3.2738941704518525,0.8157616941597341
6,7,1,6,57T,14.847616665153263,3.2455789702279225,3.8532605239139053,0.8461562565356796
7,7,1,6,58T,1.181838746429813,0.8112020492553703,1.0871240713137635,0.9625961746401974
8,7,1,6,67T,11.47522455309957,2.611645426068988,3.387510081623311,0.9090452337574848
9,7,1,6,68T,3.1323909507532415,1.4792998722621378,1.7698561949359732,0.9614427504830965
10,7,1,6,70T,11.835004722522838,2.108487401689802,3.440204168726449,0.8724939796480278
11,7,1,6,73T,25.4940431982692,4.076678793770926,5.049162623472252,0.7380763631356847
12,7,1,6,75T,7.381154853709022,1.898802253178187,2.7168280868890142,0.9206222921974054
