,W_in,W_out,stride,station,MSE,MAE,RMSE,R2_score,displacement
0,7,1,6,80T,9.279696169775955,2.433699403490339,3.046259373358735,0.7207399893634137,62
1,7,1,6,63T,12.609956455373327,2.542832783290318,3.5510500496857724,0.4104123413041094,103
2,7,1,6,78T,5.108019372338146,1.7247201374598908,2.260092779586304,0.5610820705926014,152
3,7,1,6,62T,20.541989419486786,3.5875246865408763,4.532327152742483,0.45154203429786,162
